Suspected,Infected,Recovered,Vaccinated,Death
35549055.0,3569381.0,230116680.0,7753214.0,23011668.0
35373569.0,3440940.0,230469142.0,7669433.0,23046914.0
35202620.0,3320406.0,230809088.0,7586975.0,23080908.0
35035928.0,3207232.0,231137286.0,7505824.0,23113728.0
34873231.0,3100911.0,231454451.0,7425960.0,23145445.0
34714289.0,3000971.0,231761247.0,7347367.0,23176124.0
34558878.0,2906971.0,232058294.0,7270026.0,23205829.0
34406794.0,2818501.0,232346168.0,7193918.0,23234616.0
34257844.0,2735180.0,232625406.0,7119027.0,23262540.0
34111852.0,2656653.0,232896508.0,7045334.0,23289650.0
33968653.0,2582591.0,233159940.0,6972820.0,23315994.0
33828095.0,2512687.0,233416135.0,6901467.0,23341613.0
33690038.0,2446657.0,233665496.0,6831258.0,23366549.0
33554349.0,2384234.0,233908399.0,6762175.0,23390839.0
33420908.0,2325175.0,234145196.0,6694200.0,23414519.0
33289601.0,2269250.0,234376212.0,6627314.0,23437621.0
33160323.0,2216246.0,234601752.0,6561501.0,23460175.0
33032976.0,2165968.0,234822100.0,6496744.0,23482210.0
32907469.0,2118232.0,235037521.0,6433024.0,23503752.0
32783718.0,2072868.0,235248261.0,6370325.0,23524826.0
32661644.0,2029718.0,235454551.0,6308629.0,23545455.0
32541172.0,1988637.0,235656607.0,6247921.0,23565660.0
32422235.0,1949487.0,235854629.0,6188183.0,23585462.0
32304767.0,1912144.0,236048806.0,6129400.0,23604880.0
32188710.0,1876489.0,236239313.0,6071555.0,23623931.0
32074006.0,1842415.0,236426314.0,6014632.0,23642631.0
31960604.0,1809820.0,236609963.0,5958615.0,23660996.0
31848454.0,1778610.0,236790404.0,5903489.0,23679040.0
31737511.0,1748698.0,236967773.0,5849239.0,23696777.0
31627730.0,1720004.0,237142195.0,5795850.0,23714219.0
31519072.0,1692452.0,237313789.0,5743306.0,23731378.0
31411499.0,1665973.0,237482667.0,5691593.0,23748266.0
31304973.0,1640502.0,237648932.0,5640697.0,23764893.0
31199463.0,1615979.0,237812685.0,5590603.0,23781268.0
31094936.0,1592347.0,237974016.0,5541298.0,23797401.0
30991361.0,1569555.0,238133013.0,5492767.0,23813301.0
30888712.0,1547555.0,238289757.0,5444998.0,23828975.0
30786960.0,1526302.0,238444327.0,5397976.0,23844432.0
30686081.0,1505753.0,238596796.0,5351689.0,23859679.0
30586050.0,1485869.0,238747231.0,5306124.0,23874723.0
30486846.0,1466616.0,238895699.0,5261268.0,23889569.0
30388446.0,1447958.0,239042260.0,5217108.0,23904226.0
30290830.0,1429865.0,239186974.0,5173632.0,23918697.0
30193979.0,1412306.0,239329895.0,5130829.0,23932989.0
30097874.0,1395256.0,239471075.0,5088686.0,23947107.0
30002497.0,1378687.0,239610566.0,5047191.0,23961056.0
29907832.0,1362578.0,239748413.0,5006334.0,23974841.0
29813863.0,1346904.0,239884662.0,4966102.0,23988466.0
29720574.0,1331647.0,240019356.0,4926485.0,24001935.0
29627951.0,1316785.0,240152536.0,4887472.0,24015253.0
29535980.0,1302302.0,240284240.0,4849052.0,24028424.0
29444648.0,1288180.0,240414505.0,4811215.0,24041450.0
29353941.0,1274403.0,240543368.0,4773949.0,24054336.0
29263847.0,1260957.0,240670862.0,4737246.0,24067086.0
29174354.0,1247827.0,240797019.0,4701095.0,24079701.0
29085452.0,1235000.0,240921872.0,4665487.0,24092187.0
28997129.0,1222465.0,241045449.0,4630411.0,24104544.0
28909374.0,1210209.0,241167779.0,4595858.0,24116777.0
28822178.0,1198222.0,241288891.0,4561819.0,24128889.0
28735530.0,1186493.0,241408810.0,4528285.0,24140881.0
28649421.0,1175013.0,241527562.0,4495246.0,24152756.0
28563842.0,1163773.0,241645171.0,4462695.0,24164517.0
28478785.0,1152764.0,241761662.0,4430622.0,24176166.0
28394240.0,1141978.0,241877056.0,4399018.0,24187705.0
28310199.0,1131408.0,241991377.0,4367877.0,24199137.0
28226655.0,1121045.0,242104645.0,4337188.0,24210464.0
28143599.0,1110885.0,242216882.0,4306945.0,24221688.0
28061024.0,1100919.0,242328106.0,4277139.0,24232810.0
