Suspected,Infected,Recovered,Death
4780417.0,297690.0,232833072.0,62088819.0
4778592.0,272303.0,232854555.0,62094548.0
4776923.0,249081.0,232874206.0,62099788.0
4775396.0,227838.0,232892182.0,62104581.0
4774001.0,208407.0,232908624.0,62108966.0
4772724.0,190632.0,232923664.0,62112977.0
4771557.0,174374.0,232937422.0,62116645.0
4770490.0,159501.0,232950006.0,62120001.0
4769514.0,145897.0,232961516.0,62123071.0
4768621.0,133453.0,232972045.0,62125878.0
4767805.0,122071.0,232981676.0,62128447.0
4767058.0,111659.0,232990485.0,62130796.0
4766375.0,102135.0,232998543.0,62132945.0
4765751.0,93423.0,233005914.0,62134910.0
4765180.0,85454.0,233012656.0,62136708.0
4764657.0,78165.0,233018823.0,62138352.0
4764179.0,71498.0,233024464.0,62139857.0
4763742.0,65399.0,233029624.0,62141233.0
4763343.0,59821.0,233034343.0,62142491.0
4762977.0,54718.0,233038661.0,62143642.0
4762643.0,50050.0,233042609.0,62144695.0
4762337.0,45781.0,233046221.0,62145659.0
4762057.0,41876.0,233049525.0,62146540.0
4761801.0,38304.0,233052547.0,62147346.0
4761567.0,35036.0,233055311.0,62148083.0
4761353.0,32048.0,233057840.0,62148757.0
4761158.0,29314.0,233060153.0,62149374.0
4760979.0,26813.0,233062268.0,62149938.0
4760815.0,24526.0,233064203.0,62150454.0
4760665.0,22434.0,233065973.0,62150926.0
4760528.0,20520.0,233067592.0,62151358.0
4760403.0,18770.0,233069073.0,62151752.0
4760288.0,17169.0,233070428.0,62152114.0
