Model,Training_days,Method,Mae,mse,Beta,Gamma
SIR,25,leastsq,4382217.01813044,0.00011223705772105461,0.3856110775386168,0.0708247124838629
SIR,35,leastsq,2881550.272456836,4.831347386507927e-05,0.39045519747274604,0.07264974630180387
SIR,45,leastsq,10681651.891644744,0.0004949951343483773,0.37962769147205144,0.05102169076146468
SIR,55,leastsq,22608299.908999234,22.707812499999996,5.0,5.0
SIR,65,leastsq,1247485.285015344,9.68057662305708e-06,0.3957807047583306,0.07375152056094625
SIR,75,leastsq,19587415.335656747,0.0921981547707537,0.6846146246143398,0.3965444370489807
