Suspected,Infected,Recovered,Vaccinated,Death
38424073.0,5324530.0,230065142.0,9233457.0,22815950.0
35045380.0,5693204.0,231177977.0,10447189.0,26473571.0
34966812.0,4483870.0,232441042.0,6872093.0,22943532.0
36329425.0,2313091.0,228487957.0,2828176.0,24520104.0
34933282.0,630080.0,227364985.0,7617519.0,21182727.0
34880447.0,1948801.0,232179039.0,8718780.0,20946223.0
36798293.0,5671827.0,233543579.0,7289090.0,23994483.0
34244171.0,5102592.0,231731157.0,6473538.0,22464968.0
33578412.0,-1174775.0,231173447.0,7140316.0,24735030.0
35843432.0,927531.0,230903992.0,6009177.0,21638885.0
33413851.0,2584312.0,231439339.0,8920856.0,24398530.0
34517285.0,2808733.0,234588259.0,4915721.0,21141543.0
36404229.0,4231874.0,234345796.0,8123463.0,22970825.0
35856489.0,2641792.0,231360963.0,7851574.0,22237734.0
33319308.0,1466571.0,233983669.0,5858665.0,23040690.0
37098329.0,3627288.0,234516265.0,5476894.0,23933728.0
33585782.0,1665522.0,234622193.0,5261075.0,24945207.0
32795346.0,2363447.0,234733511.0,7131335.0,26237851.0
34463608.0,2348208.0,236575217.0,6083465.0,22971494.0
31655441.0,2574962.0,236632359.0,5412171.0,24464597.0
34735178.0,64792.0,232804213.0,6977231.0,21480527.0
35481475.0,1297114.0,232473987.0,4852395.0,26644156.0
33785049.0,1874490.0,233243229.0,2963990.0,24874259.0
29292731.0,681344.0,234379322.0,4695343.0,22620476.0
33569292.0,4402068.0,236965619.0,6862670.0,24458901.0
35196062.0,1200939.0,233353269.0,6094507.0,24539405.0
30590807.0,-844703.0,236313831.0,5178743.0,19357298.0
32877936.0,574102.0,238710863.0,9314165.0,20183325.0
34780844.0,4273333.0,236028522.0,7524018.0,23115255.0
30674986.0,114531.0,240677107.0,9028183.0,24266606.0
32721030.0,2336807.0,239498193.0,5114420.0,23112728.0
32709992.0,1746246.0,238274143.0,6271503.0,22007483.0
35174959.0,3164047.0,240136106.0,7194311.0,19827949.0
31831635.0,-519260.0,236210599.0,7902617.0,23932393.0
31450213.0,1571366.0,237971936.0,5951089.0,23583718.0
32535609.0,-120960.0,237942328.0,5618259.0,23230860.0
29460576.0,2894074.0,238582942.0,7204642.0,25320999.0
25746335.0,2204432.0,236050659.0,8238904.0,23063940.0
29087362.0,1085040.0,238313908.0,5192560.0,20550565.0
30204828.0,2175384.0,235451522.0,9131709.0,17470887.0
30492790.0,1961694.0,240920610.0,6247661.0,25388018.0
31315324.0,-623665.0,237543269.0,6981325.0,22051462.0
29317707.0,-861746.0,235664173.0,5749171.0,26285868.0
31202403.0,-1735369.0,237266227.0,5141460.0,26371453.0
31543604.0,1456520.0,239020162.0,4115073.0,23448356.0
30213067.0,-866796.0,238754457.0,3003358.0,22090177.0
28690286.0,983861.0,236131111.0,5267320.0,24688682.0
30580880.0,55816.0,241705578.0,2869798.0,22613583.0
29081144.0,5843131.0,240544063.0,2314953.0,22461937.0
31661016.0,-460291.0,241608079.0,6817197.0,22971163.0
31847453.0,3529846.0,236006272.0,3667076.0,24954913.0
29213217.0,2665649.0,241672493.0,5019666.0,24424082.0
27639917.0,1401559.0,240222387.0,3849330.0,24965201.0
32877951.0,548795.0,240445690.0,4729169.0,26733809.0
28158110.0,3214237.0,239981474.0,5877229.0,24484561.0
28064206.0,1201659.0,241821911.0,8733670.0,24457458.0
29802841.0,3050550.0,241112796.0,4469284.0,27640215.0
30048718.0,2681506.0,238515912.0,6496255.0,23630611.0
29842463.0,4229303.0,241580947.0,2279155.0,27801246.0
28633650.0,2309663.0,239911581.0,8905944.0,24626349.0
29946465.0,4150304.0,238335423.0,4586808.0,25830674.0
30574196.0,-32368.0,242130267.0,5428308.0,24971676.0
32843302.0,3365902.0,243314743.0,2529123.0,20660702.0
31499278.0,-2151763.0,240354193.0,5344247.0,24051445.0
30639863.0,1210828.0,241345996.0,6781826.0,25722363.0
30577791.0,2382704.0,241314789.0,3937990.0,20634410.0
26417488.0,876561.0,241508254.0,3396385.0,27298204.0
26976639.0,975926.0,242030418.0,5717841.0,22176838.0
25715468.0,2156668.0,241753405.0,5101813.0,22694024.0
26524767.0,3431112.0,242925737.0,1890455.0,24986306.0
